电影ID,电影名
379,曾克林出关
380,顾此失彼
381,舟舟
382,青眼虎李云
383,本案没有结束
384,金鹿
385,雪狼
386,北国红豆
387,平原作战
388,网络妈妈
389,断弦
390,共和国之旗
391,东陵大盗
392,民国警花
393,希望在人间
394,破茧
395,朝阳门
396,英雄小八路
397,划痕的岁月
398,红天鹅
399,一次离别
400,自有后来人
401,昆仑山上一棵草
402,笨人王老大
403,怒潮
404,风流千古
405,天涯歌女
406,前哨
407,爱恨调
408,世界屋脊的歌声
409,红珊瑚
410,阿曼尼萨罕
411,金沙江畔
412,末了，未了
413,五朵金花的儿女
414,大海在呼唤
415,捕狼人生
416,夺印
417,站起来
418,绝命藏宝图
419,你没有十六岁
420,共和国不会忘记
421,死亡客栈
422,咱们的工会主席
423,斩经堂
424,中国的
425,失恋33天
426,夏洛特烦恼
427,后会无期
428,芳华
429,致我们终将逝去的青春
432,大鱼海棠
433,山楂树之恋
434,滚蛋吧
435,将爱情进行到底
436,前任3剧情
439,万物生长
440,闪光少女
441,等风来
442,何以笙箫默
443,老男孩猛龙过江
444,小时代4
445,孔雀
448,栀子花开
449,我的早更女友
450,青春派
451,致青春
452,80
453,微微一笑很倾城
454,幸福额度
455,解忧杂货店
456,我想和你好好的
457,微爱之渐入佳境
458,绝世高手
460,28岁未成年
461,陪安东尼度过漫长岁月
462,陆垚知马俐
463,假装情侣
464,纯洁心灵
466,少年班
467,谁的青春不迷茫
469,开往春天的地铁
470,夏有乔木
471,青红
472,摇摆de婚约
473,空天猎
474,有种你爱我
475,李献计历险记
476,坏未来
477,恋爱前规则
479,爱情的牙齿
480,此间的少年
481,恋爱中的城市
482,黑处有什么
483,与时尚同居
484,奋斗
485,昨天
486,八月
487,情人结
488,一座城池
489,高考1977
490,那时花开
491,十三棵泡桐
492,我的美女老板
493,睡在我上铺的兄弟
494,一场风花雪月的事
495,梦想照进现实
496,恋爱中的宝贝
497,变身男女
498,阿司匹林
499,蓝色骨头
500,本命年
501,美人草
503,HOLD住爱
504,少年巴比伦
505,伤心童话
506,李雷和韩梅梅
507,青春失乐园
508,我爱的是你爱我
509,爱神
510,第601个电话
511,蛋炒饭
513,既然青春留不住
514,少女哪吒
515,花腰新娘
516,寻找成龙
517,全城高考
519,女汉子真爱公式
520,情不自禁
521,遇见你真好
522,高跟鞋先生
523,我的青春期
524,北京杂种
525,芳香之旅
526,再见金华站
527,电影往事
528,玩大的
529,庐山恋2010
530,我们的十年
531,我心雀跃
532,怒放之青春再见
533,鸳鸯蝴蝶
534,初恋未满
535,我们约会吧
536,秋之白华
537,脱单告急
538,爱情银行
540,花季
541,新街口
543,幸福59厘米之爱有多久
544,暴走吧，女人
547,女人公敌
548,我要进前十
549,我是你妈
550,狗十三
551,迷城
552,198
553,极度寒冷
554,泡沫之夏
555,泡芙小姐
556,我就是我
557,早见，晚爱
558,金太狼的幸福生活
559,房不剩防
560,青春感恩记
561,爱爱囧事
562,4B青年之4楼B座
563,蓝色爱情
564,哀乐女子天团
567,那些五脊六兽的日子
568,推理笔记
569,天那边
570,周末情人
571,不朽的时光
572,扣篮对决
573,最美的时候遇见你
574,小鱼吃大鱼
575,北京小妞
576,激浪青春
577,杨梅洲
579,六人晚餐
580,有种
581,青春祭
582,中国好声音之为你转身
583,花眼
584,玩酷青春
585,一只狗的大学时光
586,0.5
588,大无畏
589,赖小子
590,星语心愿之再爱
591,致我们终将到来的爱情
592,天上的恋人
593,美人邦
594,呼吸正常
595,青春期
596,再见十八班
597,摇滚英雄
598,后备空姐
599,我的美丽乡愁
600,小情书
601,达达
602,该死的胖子
603,甜蜜18岁
604,头发乱了
605,重生爱人
606,太阳花
607,老虎都要嫁
608,爱情麻辣烫之情定终身
610,那一场呼啸而过的青春
611,夏天，有风吹过
612,再见路星河
613,毕业作品
614,感情生活
615,我心飞翔
616,星空日记
617,乐队
618,莫陌
619,多大事啊
621,绿茶妹
622,校花驾到之极品校花
623,青春雷锋
624,睡沙发的人
626,初见
627,背鸭子的男孩
628,一条大鱼叫海棠
630,枫叶
631,鮀·恋
